StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q4_1,Q2_1
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What percent of North American and European countries are members of NATO (the North American Treaty Organizations)? - % NATO members,What percent of North American and European countries are members of NATO (the North American Treaty Organizations)? - % NATO members
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID1_1""}"
2019-01-22 22:17:02,2019-01-22 22:17:02,Survey Test,,100,0,True,2019-01-22 22:17:02,R_eJRJUJqZ4z1Xl0p,,,,,40.109893798828125,-111.64620208740234375,test,,,49
2019-01-22 22:17:02,2019-01-22 22:17:02,Survey Test,,100,0,True,2019-01-22 22:17:02,R_bgEGYXBoYZ8x6EB,,,,,40.109893798828125,-111.64620208740234375,test,,1,
2019-01-22 22:17:02,2019-01-22 22:17:02,Survey Test,,100,0,True,2019-01-22 22:17:02,R_57KQDvCwJvv7rCd,,,,,40.109893798828125,-111.64620208740234375,test,,,40
2019-01-22 22:17:02,2019-01-22 22:17:03,Survey Test,,100,1,True,2019-01-22 22:17:03,R_e5NQjvXv9AAf0YR,,,,,40.109893798828125,-111.64620208740234375,test,,47,
2019-01-22 22:17:03,2019-01-22 22:17:03,Survey Test,,100,0,True,2019-01-22 22:17:03,R_430XFgYVxeLoeqh,,,,,40.109893798828125,-111.64620208740234375,test,,40,
2019-01-22 22:17:03,2019-01-22 22:17:03,Survey Test,,100,0,True,2019-01-22 22:17:03,R_8jGqnxVgPk0LGT3,,,,,40.109893798828125,-111.64620208740234375,test,,,83
2019-01-22 22:17:03,2019-01-22 22:17:03,Survey Test,,100,0,True,2019-01-22 22:17:03,R_71YD10eqT6bnfiR,,,,,40.109893798828125,-111.64620208740234375,test,,,25
2019-01-22 22:17:03,2019-01-22 22:17:03,Survey Test,,100,0,True,2019-01-22 22:17:03,R_884Ep4my8QWbFOZ,,,,,40.109893798828125,-111.64620208740234375,test,,62,
2019-01-22 22:17:03,2019-01-22 22:17:03,Survey Test,,100,0,True,2019-01-22 22:17:03,R_8wdRFOWdEDq462h,,,,,40.109893798828125,-111.64620208740234375,test,,,30
2019-01-22 22:17:03,2019-01-22 22:17:03,Survey Test,,100,0,True,2019-01-22 22:17:03,R_ah2sM9yo4xi1Wkd,,,,,40.109893798828125,-111.64620208740234375,test,,96,
2019-01-22 22:17:04,2019-01-22 22:17:04,Survey Test,,100,0,True,2019-01-22 22:17:04,R_cu1GhpopdmDKD8V,,,,,40.109893798828125,-111.64620208740234375,test,,70,
2019-01-22 22:17:04,2019-01-22 22:17:04,Survey Test,,100,0,True,2019-01-22 22:17:04,R_87GKYkpi9MvRQPj,,,,,40.109893798828125,-111.64620208740234375,test,,,55
2019-01-22 22:17:04,2019-01-22 22:17:04,Survey Test,,100,0,True,2019-01-22 22:17:04,R_4SFg9cYtTHyBJdj,,,,,40.109893798828125,-111.64620208740234375,test,,,12
2019-01-22 22:17:04,2019-01-22 22:17:04,Survey Test,,100,0,True,2019-01-22 22:17:04,R_4UiuPvjfVsRjeHH,,,,,40.109893798828125,-111.64620208740234375,test,,70,
2019-01-22 22:17:04,2019-01-22 22:17:04,Survey Test,,100,0,True,2019-01-22 22:17:04,R_1RjzIJPQtYr1tVr,,,,,40.109893798828125,-111.64620208740234375,test,,12,
2019-01-22 22:17:04,2019-01-22 22:17:04,Survey Test,,100,0,True,2019-01-22 22:17:05,R_elgFDT2n1s1OaAB,,,,,40.109893798828125,-111.64620208740234375,test,,,10
